"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Cross Body Hammer Curl",,"",1,"normal",10,10,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Cross Body Hammer Curl",,"",2,"normal",10,11,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Cross Body Hammer Curl",,"",3,"normal",10,13,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Pull Up (Assisted)",,"",0,"normal",68,12,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Pull Up (Assisted)",,"",1,"normal",59,12,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Pull Up (Assisted)",,"",2,"normal",50,9,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Pull Up (Assisted)",,"",3,"normal",50,7,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Lat Pulldown (Machine)",,"Siguiente empezar con mas peso",0,"normal",41,12,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Lat Pulldown (Machine)",,"Siguiente empezar con mas peso",1,"normal",59,7,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Lat Pulldown (Machine)",,"Siguiente empezar con mas peso",2,"normal",52,8,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Lat Pulldown (Machine)",,"Siguiente empezar con mas peso",3,"normal",52,8,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Preacher Curl (Machine)",,"",0,"normal",23,10,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Preacher Curl (Machine)",,"",1,"normal",25,8,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Preacher Curl (Machine)",,"",2,"normal",32,5,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Preacher Curl (Machine)",,"",3,"normal",25,7,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Preacher Curl (Machine)",,"",4,"normal",9,10,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Seated Row (Machine)",,"",0,"normal",45,12,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Seated Row (Machine)",,"",1,"normal",59,7,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Seated Row (Machine)",,"",2,"normal",59,9,,,
"miércoles Pull","9 Jan 2025, 08:34","9 Jan 2025, 10:27","","Seated Row (Machine)",,"",3,"normal",66,6,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Bench Press (Barbell)",,"",0,"normal",50,12,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Bench Press (Barbell)",,"",1,"normal",60,12,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Bench Press (Barbell)",,"",2,"normal",70,9,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Bench Press (Barbell)",,"",3,"normal",80,4,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Butterfly (Pec Deck)",,"",0,"normal",73,12,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Butterfly (Pec Deck)",,"",1,"normal",79,11,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Butterfly (Pec Deck)",,"",2,"normal",86,6,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Butterfly (Pec Deck)",,"",3,"normal",100,5,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Shoulder Press (Dumbbell)",,"",0,"normal",20,8,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Shoulder Press (Dumbbell)",,"",1,"normal",20,8,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Shoulder Press (Dumbbell)",,"",2,"normal",20,7,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Shoulder Press (Dumbbell)",,"",3,"normal",20,7,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Skullcrusher (Barbell)",,"",0,"normal",25,7,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Skullcrusher (Barbell)",,"",1,"normal",25,9,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Skullcrusher (Barbell)",,"",2,"normal",25,10,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Skullcrusher (Barbell)",,"",3,"normal",25,7,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Single Arm Lateral Raise (Cable)",,"",0,"normal",11,10,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Single Arm Lateral Raise (Cable)",,"",1,"normal",14,7,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Single Arm Lateral Raise (Cable)",,"",2,"normal",9,12,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Single Arm Lateral Raise (Cable)",,"",3,"normal",14,4,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Single Arm Triceps Pushdown (Cable)",,"",0,"normal",20,4,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Single Arm Triceps Pushdown (Cable)",,"",1,"normal",14,10,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Single Arm Triceps Pushdown (Cable)",,"",2,"normal",16,5,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Single Arm Triceps Pushdown (Cable)",,"",3,"normal",14,10,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Triceps Dip (Assisted)",,"agarre cerrado",0,"normal",68,12,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Triceps Dip (Assisted)",,"agarre cerrado",1,"normal",50,8,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Triceps Dip (Assisted)",,"agarre cerrado",2,"normal",50,8,,,
"Lunes Push","7 Jan 2025, 08:22","7 Jan 2025, 11:02","Buen entrenamiento, a ver si vuelvo a ponerme a full.","Triceps Dip (Assisted)",,"agarre cerrado",3,"normal",41,7,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",50,12,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",64,9,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Straight Arm Lat Pulldown (Cable)",,"",2,"normal",59,10,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Straight Arm Lat Pulldown (Cable)",,"",3,"normal",59,10,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Bicep Curl (Cable)",,"",0,"normal",20,12,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Bicep Curl (Cable)",,"",1,"normal",32,10,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Bicep Curl (Cable)",,"",2,"normal",41,6,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Bicep Curl (Cable)",,"",3,"normal",32,10,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Seated Row (Machine)",,"",0,"normal",45,12,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Seated Row (Machine)",,"",1,"normal",52,10,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Seated Row (Machine)",,"",2,"normal",59,9,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Seated Row (Machine)",,"",3,"normal",66,8,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Cross Body Hammer Curl",,"",0,"normal",6,12,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Cross Body Hammer Curl",,"",1,"normal",10,10,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Cross Body Hammer Curl",,"",2,"normal",10,10,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Cross Body Hammer Curl",,"",3,"normal",10,10,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Lat Pulldown (Machine)",,"pausita baño",0,"normal",41,12,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Lat Pulldown (Machine)",,"pausita baño",1,"normal",59,7,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Lat Pulldown (Machine)",,"pausita baño",2,"normal",52,8,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Lat Pulldown (Machine)",,"pausita baño",3,"normal",52,6,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Preacher Curl (Machine)",,"",0,"normal",20,12,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Preacher Curl (Machine)",,"",1,"normal",25,7,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Preacher Curl (Machine)",,"",2,"normal",32,6,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Preacher Curl (Machine)",,"",3,"normal",25,7,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Rowing Machine",,"",0,"normal",,,1.14,180,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Pull Up (Assisted)",,"",0,"normal",68,8,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Pull Up (Assisted)",,"",1,"normal",68,8,,,
"miércoles Pull","2 Jan 2025, 09:39","2 Jan 2025, 11:52","q sueño","Pull Up (Assisted)",,"",2,"normal",68,10,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Stretching",,"",0,"normal",,,,80,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Bench Press (Barbell)",,"",0,"normal",50,12,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Bench Press (Barbell)",,"",1,"normal",60,12,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Bench Press (Barbell)",,"",2,"normal",70,6,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Bench Press (Barbell)",,"",3,"normal",80,3,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Butterfly (Pec Deck)",,"",0,"normal",73,12,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Butterfly (Pec Deck)",,"",1,"normal",79,10,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Butterfly (Pec Deck)",,"",2,"normal",86,7,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Butterfly (Pec Deck)",,"",3,"normal",100,7,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Shoulder Press (Dumbbell)",,"",0,"normal",18,10,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Shoulder Press (Dumbbell)",,"",1,"normal",20,8,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Shoulder Press (Dumbbell)",,"",2,"normal",20,8,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Shoulder Press (Dumbbell)",,"",3,"normal",20,7,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Skullcrusher (Barbell)",,"",0,"normal",25,10,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Skullcrusher (Barbell)",,"",1,"normal",25,9,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Skullcrusher (Barbell)",,"",2,"normal",25,11,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Skullcrusher (Barbell)",,"",3,"normal",25,8,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Single Arm Lateral Raise (Cable)",,"5 min de ir al baño (o 10)",0,"normal",11,12,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Single Arm Lateral Raise (Cable)",,"5 min de ir al baño (o 10)",1,"normal",14,7,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Single Arm Lateral Raise (Cable)",,"5 min de ir al baño (o 10)",2,"normal",9,12,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Single Arm Lateral Raise (Cable)",,"5 min de ir al baño (o 10)",3,"normal",11,7,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Single Arm Triceps Pushdown (Cable)",,"",0,"normal",20,5,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Single Arm Triceps Pushdown (Cable)",,"",1,"normal",14,10,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Single Arm Triceps Pushdown (Cable)",,"",2,"normal",16,7,,,
"Lunes Push","30 Dec 2024, 09:39","30 Dec 2024, 11:44","bn aunq falto tríceps en asistido","Single Arm Triceps Pushdown (Cable)",,"",3,"normal",14,8,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Stretching",,"",0,"normal",,,,158,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Romanian Deadlift (Barbell)",,"",0,"normal",30,10,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Romanian Deadlift (Barbell)",,"",1,"normal",30,12,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Romanian Deadlift (Barbell)",,"",2,"normal",30,10,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hack Squat (Machine)",,"",0,"normal",67,12,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hack Squat (Machine)",,"",1,"normal",67,12,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hack Squat (Machine)",,"",2,"normal",87,8,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hack Squat (Machine)",,"",3,"normal",97,5,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Seated Leg Curl (Machine)",,"",0,"normal",41,12,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Seated Leg Curl (Machine)",,"",1,"normal",52,8,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Seated Leg Curl (Machine)",,"",2,"normal",45,10,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Seated Leg Curl (Machine)",,"",3,"normal",39,10,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Leg Extension (Machine)",,"",0,"normal",52,12,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Leg Extension (Machine)",,"",1,"normal",59,10,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Leg Extension (Machine)",,"",2,"normal",66,10,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Leg Extension (Machine)",,"",3,"normal",75,10,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hip Adduction (Machine)",,"",0,"normal",25,12,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hip Adduction (Machine)",,"",1,"normal",45,10,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hip Adduction (Machine)",,"",2,"normal",59,8,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hip Adduction (Machine)",,"",3,"normal",61,12,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hip Abduction (Machine)",,"",0,"normal",32,14,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hip Abduction (Machine)",,"",1,"normal",39,14,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hip Abduction (Machine)",,"",2,"normal",52,12,,,
"Viernes Legs","27 Dec 2024, 09:07","27 Dec 2024, 10:58","Mucha gente, dia triste","Hip Abduction (Machine)",,"",3,"normal",66,7,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Bench Press (Barbell)",,"",0,"normal",50,12,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Bench Press (Barbell)",,"",1,"normal",60,10,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Bench Press (Barbell)",,"",2,"normal",70,8,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Bench Press (Barbell)",,"",3,"normal",80,3,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Butterfly (Pec Deck)",,"",0,"normal",66,12,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Butterfly (Pec Deck)",,"",1,"normal",73,12,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Butterfly (Pec Deck)",,"",2,"normal",79,10,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Butterfly (Pec Deck)",,"",3,"normal",86,10,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Shoulder Press (Dumbbell)",,"",0,"normal",20,8,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Shoulder Press (Dumbbell)",,"",1,"normal",20,8,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Shoulder Press (Dumbbell)",,"",2,"normal",20,6,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Shoulder Press (Dumbbell)",,"",3,"normal",20,8,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Skullcrusher (Barbell)",,"",0,"normal",20,10,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Skullcrusher (Barbell)",,"",1,"normal",20,12,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Skullcrusher (Barbell)",,"",2,"normal",20,12,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Skullcrusher (Barbell)",,"",3,"normal",25,10,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Single Arm Lateral Raise (Cable)",,"",0,"normal",9,10,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Single Arm Lateral Raise (Cable)",,"",1,"normal",14,6,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Single Arm Lateral Raise (Cable)",,"",2,"normal",9,10,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Single Arm Lateral Raise (Cable)",,"",3,"normal",11,8,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Single Arm Triceps Pushdown (Cable)",,"",0,"normal",20,8,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Single Arm Triceps Pushdown (Cable)",,"",1,"normal",18,9,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Single Arm Triceps Pushdown (Cable)",,"",2,"normal",14,8,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Single Arm Triceps Pushdown (Cable)",,"",3,"normal",18,7,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Triceps Dip (Assisted)",,"Descansito 5 min para ir sl baño",0,"normal",68,10,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Triceps Dip (Assisted)",,"Descansito 5 min para ir sl baño",1,"normal",50,10,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Triceps Dip (Assisted)",,"Descansito 5 min para ir sl baño",2,"normal",41,7,,,
"Lunes Push","23 Dec 2024, 08:46","23 Dec 2024, 10:53","Seguimos progresando.","Triceps Dip (Assisted)",,"Descansito 5 min para ir sl baño",3,"normal",41,7,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Stretching",,"",0,"normal",,,,134,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Romanian Deadlift (Barbell)",,"",0,"normal",20,10,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Romanian Deadlift (Barbell)",,"",1,"normal",30,10,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Romanian Deadlift (Barbell)",,"",2,"normal",30,10,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hip Adduction (Machine)",,"",0,"normal",20,12,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hip Adduction (Machine)",,"",1,"normal",32,12,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hip Adduction (Machine)",,"",2,"normal",59,12,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hip Adduction (Machine)",,"",3,"normal",73,7,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hip Abduction (Machine)",,"",0,"normal",32,11,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hip Abduction (Machine)",,"",1,"normal",32,12,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hip Abduction (Machine)",,"",2,"normal",39,12,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hip Abduction (Machine)",,"",3,"normal",52,10,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hack Squat (Machine)",,"",0,"normal",67,10,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hack Squat (Machine)",,"",1,"normal",67,10,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hack Squat (Machine)",,"",2,"normal",77,7,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Hack Squat (Machine)",,"",3,"normal",87,7,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Leg Extension (Machine)",,"",0,"normal",52,10,,,
"Viernes Legs","20 Dec 2024, 09:05","20 Dec 2024, 11:25","Palizon histórico, mañana veremos las agujetas","Leg Extension (Machine)",,"",1,"normal",59,10,,,
